sector,earnings_n,earnings_r2,earnings_focus_beta_raw,earnings_focus_beta_std,earnings_focus_p,earnings_focus_q_bh,performance_n,performance_start,performance_end,performance_rate_beta_raw,performance_rate_beta_std,performance_rate_t,performance_rate_p,performance_r2,quadrant,earnings_focus_beta_std_pct,performance_rate_beta_std_pct
Communication Services,184,0.0760706126260354,-1.0551454972175869,-0.0755081595139798,0.3442137637735818,0.4207057112788221,3867,2011-01-03,2026-08-12,-0.3626584498887549,-0.0214301837213406,-1.4779563273779943,0.139419468085634,0.3275529013191355,Focus − / Juros −,-7.550815951397979,-2.14301837213406
Consumer Discretionary,184,0.2640832588475134,4.538925815437483,0.3542791715015566,1.1728507188335511e-05,0.0001290135790716,3867,2011-01-03,2026-08-12,-3.188908465748389,-0.1314097714159385,-7.434238210500314,1.0517229291322677e-13,0.5478255598852091,Focus + / Juros −,35.42791715015566,-13.140977141593849
Consumer Staples,184,0.1020326126209839,0.9888551618659024,0.0948091599902075,0.4618863341205608,0.5080749675326169,3867,2011-01-03,2026-08-12,-0.2942130606554657,-0.020474293678883,-1.3814939771212793,0.1671271284170894,0.5521607571098266,Focus + / Juros −,9.48091599902075,-2.0474293678883
Energy,182,0.4993292883463868,28.62653803250157,0.6296303188510535,0.0033552440821082,0.0184538424515956,3867,2011-01-03,2026-08-12,1.1807458841920535,0.0461802451806794,3.672893834379417,0.0002398191364525,0.6488851856764382,Focus + / Juros +,62.963031885105345,4.61802451806794
Financials,184,0.141212265335879,1.7070586487209107,0.2514328770161939,0.0143635148623371,0.0526662211619027,3867,2011-01-03,2026-08-12,-0.813951620868926,-0.0435103838832621,-3.689253018436818,0.0002249134536155,0.8028203894703931,Focus + / Juros −,25.14328770161939,-4.35103838832621
Health Care,160,0.1443502025827489,-0.6044922285073145,-0.0536166389674651,0.5179129987007762,0.5179129987007762,3867,2011-01-03,2026-08-12,-2.236902673237109,-0.1045090481376732,-6.467867973764407,9.939527935095643e-11,0.4112458293546606,Focus − / Juros −,-5.36166389674651,-10.45090481376732
Industrials,184,0.1338146001277539,2.997954806769225,0.2677002779147988,0.2772177612129027,0.3811744216677413,3866,2011-01-03,2026-08-12,-1.018436374904765,-0.056890685921505,-4.152220176089913,3.292652410583765e-05,0.6383312756995855,Focus + / Juros −,26.770027791479876,-5.6890685921505
Information Technology,76,0.0247736214742718,-0.9401232980465728,-0.1064521667596069,0.2298652189946999,0.361216772705957,3867,2011-01-03,2026-08-12,-2.484987297284797,-0.1049646126752436,-6.131595504113109,8.700208104202845e-10,0.2699229138568432,Focus − / Juros −,-10.645216675960691,-10.49646126752436
Materials,182,0.0317662641484295,6.773677135301451,0.1658995605468302,0.0347722886763315,0.0956237938599117,3867,2011-01-03,2026-08-12,2.6172761452473083,0.1251011733335719,6.162819291788908,7.146104350766428e-10,0.4803561338126405,Focus + / Juros +,16.589956054683018,12.51011733335719
Real Estate,152,0.2763767525922227,4.353681161161876,0.383942646429172,0.0731940913298259,0.161027000925617,3867,2011-01-03,2026-08-12,-2.7672075439051707,-0.1207663253359935,-7.253685032764511,4.055826622161478e-13,0.638607120896066,Focus + / Juros −,38.3942646429172,-12.07663253359935
Utilities,184,0.043120982064955,1.432992228204223,0.1253163718595653,0.1506730236534013,0.2762338766979024,3867,2011-01-03,2026-08-12,-1.693373889567338,-0.1024263984747875,-8.613393368239262,7.092919882758546e-18,0.6030352364333034,Focus + / Juros −,12.531637185956528,-10.24263984747875
